problem_name,n_objectives,method,selected,knee_error,KD,KGD,KIGD,supported_knee_count,all_knee_count,R_reported,R_validation,audit_gap
PMOP5,8,equal,True,0.0,0.16633020941072807,0.0,0.2864397684378638,128.0,128.0,,1.0067929631814327,
PMOP5,8,CHIM-posthoc,False,,0.959606563102438,0.62505145697384,0.9754690419586955,128.0,128.0,,,
PMOP5,8,TPE-2024-grid,True,0.0,0.16633020941072807,0.0,0.2864397684378638,128.0,128.0,,1.0067929631814327,
PMOP6,8,TAFR-meaningful-gain,True,0.0,0.0,0.0,0.5460071811778963,128.0,128.0,0.0,0.0,0.0
PMOP6,8,equal,True,0.0,0.0,0.0,0.5460071811778963,128.0,128.0,,0.0,
PMOP6,8,CHIM-posthoc,False,,0.9976652294257616,0.02499554099084408,1.031084324715863,128.0,128.0,,,
PMOP6,8,TPE-2024-grid,True,0.0,0.0,0.0,0.5460071811778963,128.0,128.0,,0.0,
PMOP7,8,TAFR-meaningful-gain,False,,,,,128.0,128.0,,,
PMOP7,8,equal,True,0.0,0.3160689759936999,0.0,0.3940074332438982,128.0,128.0,,1.3021184839685835,
PMOP7,8,CHIM-posthoc,False,,1.1463472735091356,0.5414235502464458,1.1120646537150494,128.0,128.0,,,
PMOP7,8,TPE-2024-grid,True,0.0,0.3160689759936999,0.0,0.3940074332438982,128.0,128.0,,1.3021184839685835,
PMOP8,8,TAFR-meaningful-gain,True,0.1888579092809791,0.33860550218267027,0.0036999585054244347,0.4339307504360389,0.0,128.0,1.1087462493608677,1.1087462493608677,0.0
PMOP8,8,equal,True,0.1888579092809791,0.33860550218267027,0.0036999585054244347,0.4339307504360389,0.0,128.0,,1.109149477512758,
PMOP8,8,CHIM-posthoc,False,,1.00258892753937,0.5641979420121364,1.014245483464833,0.0,128.0,,,
PMOP8,8,TPE-2024-grid,True,0.1888579092809791,0.33860550218267027,0.0036999585054244347,0.4339307504360389,0.0,128.0,,1.1087462493608677,
PMOP9,8,TAFR-meaningful-gain,True,0.0,0.0,0.0,0.24743620835742575,128.0,128.0,0.1868158942247585,0.1868158942247585,0.0
PMOP9,8,equal,True,0.0,0.0,0.0,0.24743620835742575,128.0,128.0,,0.1868158942247585,
PMOP9,8,CHIM-posthoc,False,,0.9969801514579332,0.6616785650135459,0.9637186365791368,128.0,128.0,,,
PMOP9,8,TPE-2024-grid,True,0.0,0.0,0.0,0.24743620835742575,128.0,128.0,,0.1868158942247585,
PMOP10,8,TAFR-meaningful-gain,True,0.0,0.19953366270822176,0.0,0.3508183995954153,128.0,128.0,1.0173426355626367,1.0173426355626367,0.0
PMOP10,8,equal,True,0.0,0.19953366270822176,0.0,0.3508183995954153,128.0,128.0,,1.0173426355626367,
PMOP10,8,CHIM-posthoc,False,,0.966686952207385,0.5045225145585323,1.0070828720350369,128.0,128.0,,,
PMOP10,8,TPE-2024-grid,True,0.49409721737318607,0.6282806381424424,0.17548795690141322,0.5525308901944148,128.0,128.0,,1.3322817331347196,
PMOP11,8,TAFR-meaningful-gain,True,0.18804911681258366,0.4561572719406365,0.0,0.636490642351601,14.0,128.0,1.2964491367833744,1.2964491367833744,0.0
PMOP11,8,equal,True,0.18804911681258366,0.4561572719406365,0.0,0.636490642351601,14.0,128.0,,1.2964491367833744,
PMOP11,8,CHIM-posthoc,False,,1.1542938365903614,0.6924851662450905,1.2131434035159032,14.0,128.0,,,
PMOP11,8,TPE-2024-grid,True,0.18804911681258366,0.4561572719406365,0.0,0.636490642351601,14.0,128.0,,1.2964491367833744,
PMOP12,8,TAFR-meaningful-gain,True,0.0,0.060653823346903515,0.0,0.09150019467063465,128.0,128.0,0.9929385652783269,0.9929385652783269,0.0
PMOP12,8,equal,True,0.0,0.06028801907644893,0.0,0.09134263969092374,128.0,128.0,,0.01310422769261665,
PMOP12,8,CHIM-posthoc,False,,0.9963459181471552,0.852276294936839,0.9853837100783985,128.0,128.0,,,
PMOP12,8,TPE-2024-grid,True,0.0,0.06028801907644893,0.0,0.09134263969092374,128.0,128.0,,0.01310422769261665,
PMOP13,8,TAFR-meaningful-gain,True,0.0,5.4672692812363313e-05,0.0,5.4672692812363313e-05,1001.0,1001.0,0.00010934538562472664,0.00010934538562472664,0.0
PMOP13,8,equal,True,0.0,5.4672692812363313e-05,0.0,5.4672692812363313e-05,1001.0,1001.0,,0.00010934538562472664,
PMOP13,8,CHIM-posthoc,False,,0.9993853423084177,0.9993853418089303,0.9993853423084177,1001.0,1001.0,,,
PMOP13,8,TPE-2024-grid,True,0.0,5.4672692812363313e-05,0.0,5.4672692812363313e-05,1001.0,1001.0,,0.00010934538562472664,
PMOP14,8,TAFR-meaningful-gain,True,0.0,0.0006157120482745899,0.0,0.0006157120482745899,1001.0,1001.0,0.019534140007012406,0.019534140007012406,0.0
PMOP14,8,equal,True,0.0,0.0006157120482745899,0.0,0.0006157120482745899,1001.0,1001.0,,0.019534140007012406,
PMOP14,8,CHIM-posthoc,False,,0.9935308143561673,0.993530750634015,0.9935308143561673,1001.0,1001.0,,,
PMOP14,8,TPE-2024-grid,True,0.0,0.0006157120482745899,0.0,0.0006157120482745899,1001.0,1001.0,,0.019534140007012406,
